date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjUSD,TxTfrValMeanUSD,TxTfrValMedUSD,TxTfrValUSD,VtyDayRet30d,FearAndGreed,Tweets
42916,715545,154,147254650,956199.025974026,2.7235698,40273068762.93179485261749723,14786868624.79515633638463507,711697198173.755,870700.7625958958639832364616,5448313.58084387,4721470.72375803825,2452.71206428989,263.75015582672694,6.665968524104205,16419811.09372154,266457,648233,1727160286.976002349608437866,7133.011381250431339417642965,50.4983245678897585353,4623853366.702112313908583022,0.04640779923161713,,1664
42917,641147,164,143670698,876040.841463415,2.67604439,39615542859.29813108100652879,14803768952.45381369897758044,711660152662.249,606951.307168243347233842,5801798.16405462,4945350.73695791,2412.3662131502,256.0623043839575,0.519965228527009,16421861.09362143,220267,526292,1061675270.24106259827020003,6411.577079866413145981462732,53.460230536662398682,3374361724.517060558541196796,0.04587895453854579,,420
42918,604820,188,147440408,784257.489361702,2.78455696,41370488523.31204128570659588,14857117015.46318770077502675,708659466230.329,502383.928265252555382416637,6622798.79067703,5919349.64033313,2518.8721873758,258.43621201381023,1.5910265741650058,16424211.09362141,196813,484887,901690603.656251951103154956,6324.910585034256624579453306,42.8208271853886,3066866918.845511266714797036,0.046177146968736545,,131
42919,660964,170,136297102,801747.658823529,2.8067694,41918817680.22454496437534382,14934899044.24091043399953095,708659466230.329,714427.7723353594665469524065,5988701.03412285,5422845.79243863875,2551.92743173583,285.16747427672857,0.09317245780514367,16426336.09362129,250562,586993,1335052148.714952956894085042,7996.665427001103407752675489,63.5085930684423680116,4693986628.99166142525637942,0.04595269876916907,,4162
42920,718284,153,139416037,911215.928104575,2.84851858,42709253031.52099566767974079,14993496385.19452938716551192,708659466230.329,766415.743812723205596635404,5389830.93071056,4972011.834207331125,2599.74474991233,282.4040021421479,2.9604395611404177,16428248.59362107,256743,652712,1253296157.622278397488043556,6138.800468337788558629293841,52.0891097479834228392,4006868731.289697100463026299,0.04603614523094874,,691
42921,649605,149,135967828,912535.758389262,2.84213614,42851453105.79121337871605176,15077199344.67006913728376857,708659466230.329,585317.6902696720995155581312,5248920.31814296,4857595.359812971875,2608.10489117475,290.3378747463567,-2.8754136076718564,16430111.09361094,235034,565304,1464838925.027824830900968145,9066.732662523542192627204362,55.5582416075382007125,5125460241.055201492377675352,0.04459822082443492,,328
42922,637761,142,135790569,956271.612676056,2.82784137,42775411503.23489800809231657,15126524395.53787043977123436,708659466230.33,652893.4337349655574220290144,5002326.74614967,4620671.96581677225,2603.19547369959,284.1496867781539,-9.33870760724265,16431886.09361081,229220,558507,1377579309.094408618885492945,8217.811427930987834626605916,59.85710877958363108095,4589705207.179458876633816023,0.04271245525816472,,1598
42923,733315,148,138686547,937071.263513513,2.70091753,41015005023.05479680012234467,15185582142.50781095213982241,708659466230.329,597316.8429910305516950812078,5213692.66500107,4617194.7060870755,2495.78092220923,289.9333338804206,-7.794525039348743,16433736.09361069,243553,655412,1450163861.666070966918160457,6507.00068154492231421198896,33.9078293559899313338,4264766330.692713311763193457,0.04205848193743643,,178
42924,630307,165,139746412,846947.951515152,2.7563821,41968715692.88560206779840962,15226015178.99671494128867775,708659466230.329,472145.7244483517881808716459,5812562.76841335,5266581.70113054375,2553.4941581239,283.9542288267536,-8.887198614065737,16435798.59361057,217777,534090,1000573430.940358186431228437,6453.84582557096302014465985,42.839690606487276671,3446934516.979194273309686783,0.041747250128045116,,174
42925,547682,138,103776270,752001.956521739,2.70314378,41195281327.55584344325404689,15239766997.18086124218277482,708659466230.33,388620.9961817471953884864407,4861416.13358208,4323148.793389827,2506.17321355932,284.41664197954447,-10.649292550088763,16437523.59361045,185614,459218,1132925919.167240098327287407,6938.204991201476998954752528,34.6876677698210565948,3186148619.649555335349772002,0.04183608902213317,,490
42926,778061,197,147850704,750511.187817259,2.50667922,38130359538.74251181112782468,15211503452.99203925677993232,708659466230.329,481155.7721331030029162508996,6939847.66895412,5711440.9847735265,2319.36689736996,256.8479982006022,-20.469610795499108,16439986.09361043,254337,701962,1313524610.394882142524410154,6674.62868224393732718935996,29.01991861989293952,4685335699.045322870381034928,0.043117179865208466,,260
42927,773747,173,154869909,895201.786127168,2.5040635,38132095672.12927162208951501,15228086545.97318964827888646,708659466230.329,489794.6498788726503731918438,6094383.99354854,5015199.590339712,2319.16744061952,256.6454221795295,-22.024205232882778,16442148.5936104,269057,673031,1215482047.473225335838039859,6903.607359204929648256706867,52.4292675842018483712,4646341764.573058341549281894,0.04283606962841804,,577
42928,746872,177,156046024,881615.95480226,2.5607933,39053487321.79894369609494308,15250542587.58647497734685864,708659466230.329,527156.4647415618816325736422,6235294.60611614,5254435.864525868625,2374.88626645237,254.44840143920283,-10.900554396965996,16444361.09361037,255592,609891,1167211498.156027451509363474,6673.493039823505244050912509,52.616792676385483535,4070103343.550991638372142362,0.03867654152778157,,1407
42929,675427,157,133336001,849273.891719745,2.52324473,38545879294.01801944106289179,15276314198.17014813424752122,708659466230.329,491395.4888382686274280334672,5530741.54327816,4599586.508434031,2343.73834824664,256.01073689664526,-13.423752294762217,16446323.59361033,243905,588247,1071548156.504328492577467061,6828.371196909146290965589587,50.156000652478096,4016768871.468212542544255425,0.0385357353643058,,215
42930,647312,139,126079550,907047.122302158,2.38547763,36429580814.58527835490634472,15271399075.58299915009601992,765213349134.644,478093.972077143847765506366,5287415.70544483,3848258.84978814325,2214.82523728814,235.1195738380406,-9.370526346793374,16448061.09361031,231329,573586,998325906.864766114852184383,6832.483388756965045872077273,48.504672696610266,3919016817.023556945553067438,0.035313673119510766,,7584
42931,624607,127,122638871,965660.401574803,2.15162881,32728766809.62570409834383619,15211158477.0135064721974582,804525194568.13,748286.4093955570803499967211,5079131.87191812,3158542.689505412625,1989.63319023963,198.40379681506806,-17.43872700498391,16449648.5936103,216276,527297,811966814.9497726433041421628,5289.598304154865507767201797,40.588517080888452,2789189316.98595214653695445,0.04007083816057613,,440
42932,617297,163,137758209,845142.386503067,2.0725336,31435051662.1283088775084227,15167450890.62461175598795169,804525194568.129,323434.4759709331286510908011,6518885.78836735,3893152.191036670875,1910.74954161309,187.21171766910265,-22.840368944242016,16451686.09361029,205409,499351,821473537.7404177994352159285,5601.529389520363552354835565,38.2149908322618,2797129302.186383221365448339,0.04001881567533559,,144
42933,690739,148,140282816,947856.864864865,2.38704005,36456861657.86568164490671918,15272832005.55118971689457758,804525194568.13,442242.5380656993309509416392,5918988.32318017,4099130.6478638285,2215.74629614261,225.32375911744427,-16.473779423802362,16453536.09361026,232141,572365,1066754709.709932178897189297,8136.935199657214121324019405,49.4026117807400539515,4657296915.551795084450238543,0.047270917358783096,,2397
42934,809612,165,158315622,959488.618181818,2.47286929,37909768672.15023767145290831,15330276001.43871074347838747,804525194568.129,512758.9756572977903524054916,6598872.11705897,4751507.363376675,2303.7611458796,241.23800127554503,-8.15133974354829,16455598.59361023,260132,667155,1220458005.990278649204269912,6494.00328594238683176329054,49.541185486344940608,4332506762.23289080429368282,0.0469846095852121,,657
